Time (UTC), Frequency (MHz),Level (dB/Hz)
1551105545.0, 140.0, -48.0360728612
1551105545.0, 140.001953125, -48.3357243363
1551105545.0, 140.00390625, -48.4613495137
1551105545.0, 140.005859375, -48.3801416413
1551105545.0, 140.0078125, -48.0982830038
1551105545.0, 140.009765625, -48.3299767847
1551105545.0, 140.01171875, -48.1173364843
1551105545.0, 140.013671875, -48.3110700351
1551105545.0, 140.015625, -48.3216627253
1551105545.0, 140.017578125, -48.3321199635
1551105545.0, 140.01953125, -48.3843178268
1551105545.0, 140.021484375, -48.3536554855
1551105545.0, 140.0234375, -48.597086169
1551105545.0, 140.025390625, -48.2109643716
1551105545.0, 140.02734375, -47.946670225
1551105545.0, 140.029296875, -48.0286022746
1551105545.0, 140.03125, -48.3050177118
1551105545.0, 140.033203125, -48.3876938829
1551105545.0, 140.03515625, -48.1054874856
1551105545.0, 140.037109375, -48.1192340468
1551105545.0, 140.0390625, -47.9729715738
1551105545.0, 140.041015625, -48.0399975593
1551105545.0, 140.04296875, -48.2402923158
1551105545.0, 140.044921875, -48.4512206303
1551105545.0, 140.046875, -48.3255139193
1551105545.0, 140.048828125, -48.0881930314
1551105545.0, 140.05078125, -48.0827261813
1551105545.0, 140.052734375, -48.1671555524
1551105545.0, 140.0546875, -48.0997053489
1551105545.0, 140.056640625, -47.7894912955
1551105545.0, 140.05859375, -47.7463757064
1551105545.0, 140.060546875, -47.8057184549
1551105545.0, 140.0625, -47.7195787989
1551105545.0, 140.064453125, -47.6808037107
1551105545.0, 140.06640625, -47.3928319196
1551105545.0, 140.068359375, -47.116537023
1551105545.0, 140.0703125, -47.0130438824
1551105545.0, 140.072265625, -47.0985731689
1551105545.0, 140.07421875, -46.7634275109
1551105545.0, 140.076171875, -47.1071945231
1551105545.0, 140.078125, -47.09009368
1551105545.0, 140.080078125, -47.5268147632
1551105545.0, 140.08203125, -47.4845236137
1551105545.0, 140.083984375, -47.3594781614
1551105545.0, 140.0859375, -47.7499272193
1551105545.0, 140.087890625, -47.8547414292
1551105545.0, 140.08984375, -47.9109562786
1551105545.0, 140.091796875, -48.2009094955
1551105545.0, 140.09375, -48.1098684639
1551105545.0, 140.095703125, -48.2609183688
1551105545.0, 140.09765625, -47.8614576522
1551105545.0, 140.099609375, -48.1680538051
1551105545.0, 140.1015625, -48.4591286179
1551105545.0, 140.103515625, -48.5193222609
1551105545.0, 140.10546875, -48.6931068405
1551105545.0, 140.107421875, -48.3925671547
1551105545.0, 140.109375, -48.2725639542
1551105545.0, 140.111328125, -48.0771094738
1551105545.0, 140.11328125, -48.2814399031
1551105545.0, 140.115234375, -48.3028407445
1551105545.0, 140.1171875, -48.3067511234
1551105545.0, 140.119140625, -48.1293945944
1551105545.0, 140.12109375, -48.5588061042
1551105545.0, 140.123046875, -48.4574834299
1551105545.0, 140.125, -47.9923036588
1551105545.0, 140.126953125, -48.3950852401
1551105545.0, 140.12890625, -48.173635709
1551105545.0, 140.130859375, -47.9846846722
1551105545.0, 140.1328125, -48.0791457028
1551105545.0, 140.134765625, -48.48290076
1551105545.0, 140.13671875, -48.5909345339
1551105545.0, 140.138671875, -48.5597878512
1551105545.0, 140.140625, -48.3480715719
1551105545.0, 140.142578125, -48.2994160918
1551105545.0, 140.14453125, -48.2008885946
1551105545.0, 140.146484375, -48.5598826161
1551105545.0, 140.1484375, -48.600274589
1551105545.0, 140.150390625, -48.4123693373
1551105545.0, 140.15234375, -48.4633363092
1551105545.0, 140.154296875, -48.4716127822
1551105545.0, 140.15625, -48.4686121687
1551105545.0, 140.158203125, -48.2826052565
1551105545.0, 140.16015625, -48.3878949896
1551105545.0, 140.162109375, -48.2718404904
1551105545.0, 140.1640625, -48.2735698039
1551105545.0, 140.166015625, -48.1316084518
1551105545.0, 140.16796875, -48.5021625786
1551105545.0, 140.169921875, -48.4128725536
1551105545.0, 140.171875, -48.4574082768
1551105545.0, 140.173828125, -48.220974458
1551105545.0, 140.17578125, -48.3506776601
1551105545.0, 140.177734375, -48.6987665357
1551105545.0, 140.1796875, -48.3994279739
1551105545.0, 140.181640625, -48.2468358493
1551105545.0, 140.18359375, -48.3673937901
1551105545.0, 140.185546875, -48.3367291297
1551105545.0, 140.1875, -48.3953546393
1551105545.0, 140.189453125, -48.1971856547
1551105545.0, 140.19140625, -48.1662349574
1551105545.0, 140.193359375, -48.2138605888
1551105545.0, 140.1953125, -48.0816651378
1551105545.0, 140.197265625, -47.7441787652
1551105545.0, 140.19921875, -47.8773811888
1551105545.0, 140.201171875, -48.1795389576
1551105545.0, 140.203125, -48.1666609067
1551105545.0, 140.205078125, -48.0367535851
1551105545.0, 140.20703125, -48.0179565385
1551105545.0, 140.208984375, -48.2817938147
1551105545.0, 140.2109375, -48.4573455187
1551105545.0, 140.212890625, -48.4431271537
1551105545.0, 140.21484375, -48.3841878729
1551105545.0, 140.216796875, -48.2941481286
1551105545.0, 140.21875, -48.0004108382
1551105545.0, 140.220703125, -48.2127550017
1551105545.0, 140.22265625, -48.7245546793
1551105545.0, 140.224609375, -48.8068200905
1551105545.0, 140.2265625, -48.3716964472
1551105545.0, 140.228515625, -48.2358915912
1551105545.0, 140.23046875, -48.3044780228
1551105545.0, 140.232421875, -48.1549395709
1551105545.0, 140.234375, -48.2742545216
1551105545.0, 140.236328125, -48.5407320253
1551105545.0, 140.23828125, -48.641029945
1551105545.0, 140.240234375, -48.3318839364
1551105545.0, 140.2421875, -48.2588999327
1551105545.0, 140.244140625, -48.2004946662
1551105545.0, 140.24609375, -48.3137377591
1551105545.0, 140.248046875, -48.2715988358
1551105545.0, 140.25, -48.0201956512
1551105545.0, 140.251953125, -48.1445154851
1551105545.0, 140.25390625, -48.0991351065
1551105545.0, 140.255859375, -48.0422817127
1551105545.0, 140.2578125, -48.0486188748
1551105545.0, 140.259765625, -48.1220588652
1551105545.0, 140.26171875, -48.7931075206
1551105545.0, 140.263671875, -48.5828672706
1551105545.0, 140.265625, -48.1700558294
1551105545.0, 140.267578125, -48.3292673611
1551105545.0, 140.26953125, -48.1635561607
1551105545.0, 140.271484375, -48.2272732332
1551105545.0, 140.2734375, -48.196243699
1551105545.0, 140.275390625, -48.3398507806
1551105545.0, 140.27734375, -48.3639480549
1551105545.0, 140.279296875, -48.0669942062
1551105545.0, 140.28125, -48.1203307671
1551105545.0, 140.283203125, -48.5738023838
1551105545.0, 140.28515625, -48.3694953762
1551105545.0, 140.287109375, -48.1472476015
1551105545.0, 140.2890625, -48.2550480031
1551105545.0, 140.291015625, -48.4669486786
1551105545.0, 140.29296875, -48.3530465163
1551105545.0, 140.294921875, -48.2264013248
1551105545.0, 140.296875, -48.3552077234
1551105545.0, 140.298828125, -48.3855507012
1551105545.0, 140.30078125, -48.1275307284
1551105545.0, 140.302734375, -47.9031835853
1551105545.0, 140.3046875, -48.0562710131
